priority,name_en,name_cn,admin_level,why_wanted,candidate_url,policy_section_url,likely_status,needs_browser_check
1,China Academy of Information & Communications Technology (CAICT),中国信息通信研究院/信通院,central-research,"MIIT's flagship think tank; authoritative AI/data-element/computing-power/6G white papers cited across the corpus. Highest-value single research source not yet held.",http://www.caict.ac.cn/,http://www.caict.ac.cn/kxyj/qwfb/,not tried (.ac.cn, likely reachable; static /kxyj/qwfb/ list),no
1,Jiqizhixin (Synced),机器之心,media,"Leading China AI/ML media; deep model + policy coverage. Peer of already-crawled 量子位 (qbitai). Likely WP/JSON API = low-friction, high AI density.",https://www.jiqizhixin.com/,https://www.jiqizhixin.com/articles,not tried (check for wp-json/REST API like qbitai),no
1,National Financial Regulatory Administration (NFRA),国家金融监督管理总局,central-ministry,"Created 2023 (replaced CBIRC); regulates fintech, AI-in-finance, bank data/algorithm rules. Ministerial-rank economic regulator absent from corpus.",https://www.nfra.gov.cn/,https://www.nfra.gov.cn/cn/view/pages/ItemList.html?itemPId=923&itemId=926&itemName=政策法规,SPA/anti-bot per coverage §9/§13 (215B shell),yes
1,State-owned Assets Supervision & Admin Commission (SASAC),国务院国有资产监督管理委员会/国资委,central-ministry,"Supervises central SOEs incl. chip/telecom/AI/energy giants (中芯 supply chain, China Mobile, aviation). Core industrial-economic policy body missing.",http://www.sasac.gov.cn/,http://www.sasac.gov.cn/n2588035/n2588320/n2588335/index.html,not tried (main site static n-path content.html; policy DB xxgk.sasac.gov.cn gdnps may be SPA),no
1,National AI/Cybersec Standards Committee (TC260),全国网络安全标准化技术委员会,central-standards,"Issues the operative AI-security/ethics standards (生成式AI安全基本要求 GB/T45654, 实践指南 series) — the technical backbone of China AI governance.",https://www.tc260.org.cn/,https://www.tc260.org.cn/ (标准/实践指南/技术文件 listings),not tried (.org.cn standards site; PDF-heavy),no
1,Beijing Academy of AI (BAAI),北京智源人工智能研究院/智源,central-research,"Top national AI research institute (Wu Dao models, 智源大会). Bridges frontier AI research and policy; high-signal for the AI-through-governance thesis.",https://www.baai.ac.cn/,https://www.baai.ac.cn/ (research/news),not tried (.ac.cn),no
1,Shanghai AI Laboratory,上海人工智能实验室,central-research,"Leading state AI lab (InternLM, AI-safety + AI4Science). Absent; complements BAAI on the research tier.",https://www.shlab.org.cn/,https://www.shlab.org.cn/research,not tried (.org.cn),no
1,National Natural Science Foundation of China (NSFC),国家自然科学基金委员会,central-agency,"Primary basic-research funder; grant guides/管理办法 shape where AI/chip/quantum research money flows. Static /p1/ list pages look crawlable.",https://www.nsfc.gov.cn/,https://www.nsfc.gov.cn/p1/3381/2824/,not tried (static /p1/ paths),no
2,General Administration of Customs (GAC),海关总署,central-agency,"Customs regs + announcements = semiconductor/dual-use import-export controls & trade data (joint 两用物项 catalogs with MOFCOM). Economic/tech-trade relevance.",http://www.customs.gov.cn/,http://www.customs.gov.cn/customs/302249/index.html,not tried (static /customs/NNN/ paths; customs sites sometimes datacenter-fenced — recheck),no
2,Development Research Center of the State Council (DRC),国务院发展研究中心/国研中心,central-research,"The State Council's own top economic policy think tank; research reports feed macro/industrial policy. Advisory but influential.",https://www.drc.gov.cn/,https://www.drc.gov.cn/drcreport.htm,not tried (.aspx/.htm CMS),no
