# Missing cited documents — clustered & ranked (READ-ONLY snapshot)
# Source: documents.db citations table, rows with target_id IS NULL
# Total unresolved citation rows: 229340  (formal=54049, named=124320, llm=50971)
# Distinct missing documents after clustering: 143048
# Clustering rules:
#   formal (文号): key = canonicalized 文号 core (issuer+〔YYYY〕N号); already de-noised upstream by analyze.canonicalize_formal_ref.
#   named/llm (titles): key = strip 《》/brackets/quotes/whitespace, drop 中华人民共和国 prefix (collapses law short+long forms).
#   named and llm variants are merged; formal (文号) clusters are NOT merged with title clusters (no reliable 文号<->title link), so a doc cited BOTH ways can appear as 2 rows.
#   Ranked by distinct_citers (distinct corpus docs citing it). citation_count = total citation rows in the cluster.
# VERIFICATION (2026-08-09): a second agent audited the top ~150. ~14% of top refs are
# FALSE-MISSING (we hold them under a title/文号 variant — a citation-RESOLVER miss, not a gap;
# highest-leverage fix is an n-gram/文号 resolver upgrade). verified_status/acquirable columns
# below reflect that audit for assessed rows; long-tail rows are 'unverified'. acquirable:
# droplet-now = reachable site, targeted-fetch = specific old/buried doc on a covered site,
# residential = datacenter-IP-blocked (Huizhou), hard = no crawler / different system (GB standards).
rank,canonical_title,document_number,citation_count,distinct_citers,sample_citer_titles,inferred_issuer_level,inferred_doc_type,verified_status,acquirable
1,广东省城乡规划条例,,1099,975,中山市人民政府关于中山市南朗镇南朗工业区扩区控制性详细规划A-01局部地块建筑高度调整成果的批复; 中山市人民政府关于启动中山市民众街道沙仔村村庄规划（2023-2035年）编制工作的批复; 中山市人民政府关于中山火炬开发区中心片区控制性详细规划（调整）—02单元C-05-01局部地块建筑高度调整的批复,provincial,regulation,FALSE-MISSING (we hold it),skip
2,城市、镇控制性详细规划编制审批办法,,1003,915,中山市人民政府关于中山市中心城区康华路中段片区控制性详细规划（2018）启动调整的批复; 中山市人民政府关于中山市旧城区员峰山片区控制性详细规划启动调整的批复; 中山市人民政府关于中山市南朗横门片区D-01街区控制性详细规划调整成果的批复,unknown,measures,truly-missing,targeted-fetch
3,GB17733-2008,,519,519,市政府关于吴中区越溪街道部分道路桥梁地名的复函; 市政府关于虎丘区浒墅关镇部分道路地名的复函; 市政府关于同意命名梅花墅路和梅花墅桥的复函,unknown,unknown,truly-missing,hard-standard
4,惠州市加强建设项目征地拆迁管理规定,,513,513,【已失效】惠州市人民政府令第39号; 惠州市人民政府关于东江大桥北桥头便道完善工程建设项目用地征地的预公告; 惠州市人民政府关于惠城区2011年度第十三批次城镇建设项目用地征地的公告,unknown,provisions,truly-missing,residential
5,建设用地容积率管理办法,,398,371,中山市人民政府关于中山市南朗横门片区D-01街区控制性详细规划调整成果的批复; 中山市人民政府关于中山市南朗温泉度假城核心区北片区控制性详细规划调整成果的批复; 中山市人民政府关于中山市中心城区马山片区（西区服务业综合改革试验区）控制性详细规划（2020）E1-03、E1-04、E1-07地块公益性用地调整的批复,unknown,measures,truly-missing,targeted-fetch
6,广东省控制性详细规划管理条例,,392,340,中山市人民政府关于中山市南朗横门片区D-01街区控制性详细规划调整成果的批复; 中山市人民政府关于中山市三乡镇平埔片区（2203单元）06街区02-14等地块控制性详细规划局部调整（2024）成果的批复; 中山市人民政府关于中山市南区街道马岭片区（1706单元）06街区、08街区控制性详细规划局部调整（2024）成果的批复,provincial,regulation,FALSE-MISSING (we hold it),skip
7,粤港澳大湾区发展规划纲要,,389,329,以法为“桥”，相聚深圳，续写大湾区青少年与法“童”行新篇章; 广东省人民政府关于政协十三届全国委员会第二次会议第3012号（教育类320号）提案答复的函; 刘吉带队到惠州新材料产业园开展调研,unknown,plan,truly-missing,droplet-now
8,广东省自然资源厅印发关于加强和改进控制性详细规划管理若干指导意见（暂行）的通知,,288,287,中山市人民政府关于启动中山市民众街道保税园片区（0905单元）控制性详细规划一般修改的批复; 中山市人民政府关于启动中山市沙溪镇象龙片区（1102单元）05、06街区控制性详细规划一般修改的批复; 中山市人民政府关于启动中山火炬开发区（民众街道）沙仔片区（0901单元）控制性详细规划一般修改的批复,provincial,plan,unverified,
9,广东省征地补偿保护标准,,272,268,关于惠州市建设项目用地征收的预公告; 关于惠州市建设项目用地征收的预公告; 关于惠州市建设项目用地征收的预公告,provincial,standard,truly-missing,droplet-now
10,广东省事业单位公开招聘人员体检实施细则（试行）,,256,246,深圳市民政局关于2022年公开招聘“广东兜底民生服务社会工作双百工程”乡镇（街道）社会工作服务站社工入职体检有关事项的通告; 深圳市水务局直属事业单位2026年集中公开招聘高校毕业生面试工作及有关事项的公告; 广东省事业单位2024年集中公开招聘高校毕业生深圳市综合交通运行指挥中心招聘岗位入围面试考生综合成绩及体检人员名单公告,provincial,rules,truly-missing,droplet-now
