# ReConnect China CITY-tier source map vs. our coverage — built 2026-09-03
# Source: PUBLIC facet taxonomy from reconnectchina.org JS bundle assets/search-CdkYhrVp.js
#   arrays b3 (335 prefecture cities) + Bn (4 municipalities) + F3 (29 special county-level units).
#   Pinyin/English from assets/item-url-BR2Rzb8A.js name->EN dict. NO document endpoints touched.
# TOTALS: 368 city-tier units = 335 cities + 4 municipalities + 29 special.
# COVERAGE: 23 HAVE (we already crawl) / 345 NEW.
#   HAVE = 20 cities (14 Guangdong: gz sz zhuhai zhongshan huizhou yangjiang shantou shanwei
#   shaoguan jiangmen jieyang heyuan yunfu zhaoqing; + suzhou wuhan hangzhou qingdao jinan shenyang)
#   + 3 municipalities (bj Beijing, shb_* Shanghai depts, cq Chongqing). Tianjin=NEW.
# REACHABILITY SAMPLE (25 representative NEW cities, curl from droplet NYC IP, verified domains):
#   7 reachable(200) / 3 waf(4xx) / 15 blackhole(000)  ->  ~28% crawlable from NYC, ~72% blocked (need residential/proxy).
#   Matches CLAUDE.md finding: most CN gov portals blackhole datacenter IPs. Only ~1 in 4 NEW cities is directly crawlable.
# NOTE candidate_domain is the pinyin heuristic (www.<pinyin>.gov.cn); the 25 SAMPLED rows carry a VERIFIED domain
#   (several real portals use abbreviations, e.g. 石家庄=sjz, 西安=xa, 大连=dl, 南昌=nc, 昆明=km, 贵阳=gy). '(verify)' flags
#   autonomous prefectures/counties/leagues/regions where the pinyin rule is unreliable. reachability=untested = not sampled.
city_cn,city_pinyin,candidate_domain,tier,coverage,reachability
七台河市,qitaihe,www.qitaihe.gov.cn,city,NEW,untested
三亚市,sanya,www.sanya.gov.cn,city,NEW,untested
三明市,sanming,www.sanming.gov.cn,city,NEW,untested
三门峡市,sanmenxia,www.sanmenxia.gov.cn,city,NEW,untested
上饶市,shangrao,www.shangrao.gov.cn,city,NEW,untested
东营市,dongying,www.dongying.gov.cn,city,NEW,untested
中卫市,zhongwei,www.zhongwei.gov.cn,city,NEW,untested
临夏回族自治州,linxia,www.linxia.gov.cn  (verify),city,NEW,untested
临汾市,linfen,www.linfen.gov.cn,city,NEW,untested
临沂市,linyi,www.linyi.gov.cn,city,NEW,untested
临沧市,lincang,www.lincang.gov.cn,city,NEW,untested
丹东市,dandong,www.dandong.gov.cn,city,NEW,untested
丽水市,lishui,www.lishui.gov.cn,city,NEW,untested
丽江市,lijiang,www.lijiang.gov.cn,city,NEW,untested
乌鲁木齐市,urumqi,www.urumqi.gov.cn,city,NEW,untested
乐山市,leshan,www.leshan.gov.cn,city,NEW,untested
九江市,jiujiang,www.jiujiang.gov.cn,city,NEW,untested
云浮市,yunfu,www.yunfu.gov.cn,city,HAVE:yunfu,untested
亳州市,bozhou,www.bozhou.gov.cn,city,NEW,untested
伊春市,yichun,www.yichun.gov.cn,city,NEW,untested
伊犁哈萨克自治州,ili,www.ili.gov.cn  (verify),city,NEW,untested
佛山市,foshan,www.foshan.gov.cn,city,NEW,blackhole
佳木斯市,jiamusi,www.jiamusi.gov.cn,city,NEW,untested
保定市,baoding,www.baoding.gov.cn,city,NEW,untested
保山市,baoshan,www.baoshan.gov.cn,city,NEW,untested
信阳市,xinyang,www.xinyang.gov.cn,city,NEW,untested
儋州市,danzhou,www.danzhou.gov.cn,city,NEW,untested
克孜勒苏柯尔克孜自治州,kizilsu,www.kizilsu.gov.cn  (verify),city,NEW,untested
克拉玛依市,karamay,www.karamay.gov.cn,city,NEW,untested
六安市,luan,www.luan.gov.cn,city,NEW,untested
六盘水市,liupanshui,www.liupanshui.gov.cn,city,NEW,untested
兰州市,lanzhou,www.lz.gov.cn,city,NEW,blackhole
兴安盟,xingan,www.xingan.gov.cn  (verify),city,NEW,untested
内江市,neijiang,www.neijiang.gov.cn,city,NEW,untested
凉山彝族自治州,liangshan,www.liangshan.gov.cn  (verify),city,NEW,untested
北海市,beihai,www.beihai.gov.cn,city,NEW,untested
十堰市,shiyan,www.shiyan.gov.cn,city,NEW,untested
南京市,nanjing,www.nanjing.gov.cn,city,NEW,untested
南充市,nanchong,www.nanchong.gov.cn,city,NEW,untested
南宁市,nanning,www.nanning.gov.cn,city,NEW,blackhole
南平市,nanping,www.nanping.gov.cn,city,NEW,untested
南昌市,nanchang,www.nc.gov.cn,city,NEW,blackhole
南通市,nantong,www.nantong.gov.cn,city,NEW,waf
南阳市,nanyang,www.nanyang.gov.cn,city,NEW,untested
博尔塔拉蒙古自治州,bortala,www.bortala.gov.cn  (verify),city,NEW,untested
厦门市,xiamen,www.xm.gov.cn,city,NEW,blackhole
双鸭山市,shuangyashan,www.shuangyashan.gov.cn,city,NEW,untested
台州市,taizhou,www.taizhou.gov.cn,city,NEW,untested
合肥市,hefei,www.hefei.gov.cn,city,NEW,blackhole
吉安市,jian,www.jian.gov.cn,city,NEW,untested
吉林市,jilin,www.jilin.gov.cn,city,NEW,untested
吐鲁番市,turpan,www.turpan.gov.cn,city,NEW,untested
吕梁市,lliang,www.lliang.gov.cn,city,NEW,untested
吴忠市,wuzhong,www.wuzhong.gov.cn,city,NEW,untested
周口市,zhoukou,www.zhoukou.gov.cn,city,NEW,untested
和田地区,hotan,www.hotan.gov.cn  (verify),city,NEW,untested
咸宁市,xianning,www.xianning.gov.cn,city,NEW,untested
咸阳市,xianyang,www.xianyang.gov.cn,city,NEW,untested
哈密市,hami,www.hami.gov.cn,city,NEW,untested
哈尔滨市,harbin,www.harbin.gov.cn,city,NEW,blackhole
唐山市,tangshan,www.tangshan.gov.cn,city,NEW,untested
商丘市,shangqiu,www.shangqiu.gov.cn,city,NEW,untested
商洛市,shangluo,www.shangluo.gov.cn,city,NEW,untested
喀什地区,kashgar,www.kashgar.gov.cn  (verify),city,NEW,untested
嘉兴市,jiaxing,www.jiaxing.gov.cn,city,NEW,untested
嘉峪关市,jiayuguan,www.jiayuguan.gov.cn,city,NEW,untested
四平市,siping,www.siping.gov.cn,city,NEW,untested
固原市,guyuan,www.guyuan.gov.cn,city,NEW,untested
塔城地区,tacheng,www.tacheng.gov.cn  (verify),city,NEW,untested
大兴安岭地区,daxinganling,www.daxinganling.gov.cn  (verify),city,NEW,untested
大同市,datong,www.datong.gov.cn,city,NEW,untested
大庆市,daqing,www.daqing.gov.cn,city,NEW,untested
大理白族自治州,dali,www.dali.gov.cn  (verify),city,NEW,untested
大连市,dalian,www.dl.gov.cn,city,NEW,blackhole
天水市,tianshui,www.tianshui.gov.cn,city,NEW,untested
太原市,taiyuan,www.taiyuan.gov.cn,city,NEW,blackhole
威海市,weihai,www.weihai.gov.cn,city,NEW,untested
娄底市,loudi,www.loudi.gov.cn,city,NEW,untested
孝感市,xiaogan,www.xiaogan.gov.cn,city,NEW,untested
宁德市,ningde,www.ningde.gov.cn,city,NEW,untested
宁波市,ningbo,www.nb.gov.cn,city,NEW,blackhole
安庆市,anqing,www.anqing.gov.cn,city,NEW,untested
安康市,ankang,www.ankang.gov.cn,city,NEW,untested
安阳市,anyang,www.anyang.gov.cn,city,NEW,untested
安顺市,anshun,www.anshun.gov.cn,city,NEW,untested
定西市,dingxi,www.dingxi.gov.cn,city,NEW,untested
宜宾市,yibin,www.yibin.gov.cn,city,NEW,untested
宜昌市,yichang,www.yichang.gov.cn,city,NEW,untested
宜春市,yichun,www.yichun.gov.cn,city,NEW,untested
宝鸡市,baoji,www.baoji.gov.cn,city,NEW,untested
宣城市,xuancheng,www.xuancheng.gov.cn,city,NEW,untested
宿州市,suzhou,www.suzhou.gov.cn,city,NEW,untested
宿迁市,suqian,www.suqian.gov.cn,city,NEW,untested
山南市,shannan,www.shannan.gov.cn,city,NEW,untested
岳阳市,yueyang,www.yueyang.gov.cn,city,NEW,untested
崇左市,chongzuo,www.chongzuo.gov.cn,city,NEW,untested
巴中市,bazhong,www.bazhong.gov.cn,city,NEW,untested
巴音郭楞蒙古自治州,bayingolin,www.bayingolin.gov.cn  (verify),city,NEW,untested
常州市,changzhou,www.changzhou.gov.cn,city,NEW,untested
常德市,changde,www.changde.gov.cn,city,NEW,untested
平凉市,pingliang,www.pingliang.gov.cn,city,NEW,untested
平顶山市,pingdingshan,www.pingdingshan.gov.cn,city,NEW,untested
广元市,guangyuan,www.guangyuan.gov.cn,city,NEW,untested
广安市,guangan,www.guangan.gov.cn,city,NEW,untested
广州市,guangzhou,www.guangzhou.gov.cn,city,HAVE:gz,untested
庆阳市,qingyang,www.qingyang.gov.cn,city,NEW,untested
廊坊市,langfang,www.langfang.gov.cn,city,NEW,untested
延安市,yanan,www.yanan.gov.cn,city,NEW,untested
延边朝鲜族自治州,yanbian,www.yanbian.gov.cn  (verify),city,NEW,untested
开封市,kaifeng,www.kaifeng.gov.cn,city,NEW,untested
张家口市,zhangjiakou,www.zhangjiakou.gov.cn,city,NEW,untested
张家界市,zhangjiajie,www.zhangjiajie.gov.cn,city,NEW,untested
张掖市,zhangye,www.zhangye.gov.cn,city,NEW,untested
徐州市,xuzhou,www.xuzhou.gov.cn,city,NEW,untested
